Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,5430.0,5464.0,5426.0,5453.0,5453.0,88217864
2019-04-24,5453.0,5467.0,5437.5,5440.0,5440.0,86013019
2019-04-24,5440.0,5464.0,5430.0,5457.5,5457.5,46708714
2019-04-24,5457.5,5478.0,5453.5,5455.5,5455.5,60610697
2019-04-24,5455.5,5464.5,5415.0,5439.0,5439.0,106808575
2019-04-24,5439.0,5449.0,5407.0,5407.0,5407.0,94760889
2019-04-24,5407.0,5419.0,5366.5,5404.0,5404.0,216759534
2019-04-24,5404.0,5434.0,5402.5,5428.0,5428.0,72969173
2019-04-24,5428.0,5444.0,5424.0,5433.5,5433.5,40361681
2019-04-24,5433.5,5438.5,5410.5,5430.0,5430.0,41869808
2019-04-24,5430.0,5441.0,5430.0,5441.0,5441.0,20626551
2019-04-25,5441.0,5444.0,5421.5,5440.0,5440.0,38034084
2019-04-25,5440.0,5455.5,5436.5,5449.0,5449.0,45010930
2019-04-25,5449.0,5451.5,5442.5,5450.0,5450.0,22983792
2019-04-23,5383.0,5385.0,5365.0,5373.5,5373.5,44876087
2019-04-23,5373.5,5382.5,5373.5,5380.5,5380.5,16022184
2019-04-23,5380.5,5402.5,5380.0,5399.5,5399.5,44617757
2019-04-23,5399.5,5447.0,5399.0,5426.5,5426.5,129139731
2019-04-23,5426.5,5650.0,5426.5,5512.0,5512.0,565037682
2019-04-23,5512.0,5554.0,5500.0,5535.0,5535.0,131207634
2019-04-23,5535.0,5545.5,5509.0,5530.5,5530.5,70610771
2019-04-23,5530.5,5548.0,5525.0,5536.0,5536.0,67875507
2019-04-23,5536.0,5580.5,5536.0,5541.0,5541.0,143519730
2019-04-23,5541.0,5542.5,5505.5,5528.5,5528.5,101130886
2019-04-23,5528.5,5552.0,5528.0,5547.0,5547.0,59706285
2019-04-23,5547.0,5556.0,5534.5,5550.0,5550.0,71776105
2019-04-23,5550.0,5578.5,5546.0,5562.5,5562.5,108685599
2019-04-23,5562.5,5590.0,5554.5,5570.5,5570.5,99714406
2019-04-23,5570.5,5587.5,5562.0,5574.5,5574.5,68314380
2019-04-23,5574.5,5581.5,5546.0,5560.0,5560.0,98722307
2019-04-23,5560.0,5573.0,5545.5,5569.5,5569.5,56781579
2019-04-23,5569.5,5615.5,5564.0,5580.5,5580.5,153520248
2019-04-23,5580.5,5608.5,5580.5,5600.0,5600.0,65583925
2019-04-23,5600.0,5600.5,5564.0,5585.5,5585.5,76070601
2019-04-23,5585.5,5585.5,5554.0,5578.0,5578.0,69008804
2019-04-23,5578.0,5578.0,5564.5,5565.5,5565.5,25312270
2019-04-23,5565.5,5566.0,5515.0,5555.0,5555.0,166041620
2019-04-24,5555.0,5559.0,5529.0,5529.5,5529.5,57607396
2019-04-24,5529.5,5554.0,5528.0,5536.0,5536.0,56565193
2019-04-24,5536.0,5558.0,5492.5,5547.5,5547.5,216321713
2019-04-24,5547.5,5557.5,5542.0,5555.0,5555.0,44466634
2019-04-24,5555.0,5582.0,5555.0,5575.0,5575.0,57822697
2019-04-24,5575.0,5610.0,5567.0,5593.0,5593.0,126322848
2019-04-24,5593.0,5614.5,5576.0,5598.0,5598.0,81256353
2019-04-24,5598.0,5622.5,5582.0,5590.5,5590.5,104390918
2019-04-24,5590.5,5597.0,5360.0,5463.5,5463.5,326251911
2019-04-24,5463.5,5485.0,5421.0,5477.0,5477.0,226097385
2019-04-24,5477.0,5483.0,5456.0,5457.5,5457.5,74599162
2019-04-24,5457.5,5473.5,5405.0,5420.5,5420.5,153674324
2019-04-24,5420.5,5444.0,5375.0,5430.0,5430.0,170764805
2019-04-24,5430.0,5464.0,5426.0,5453.0,5453.0,88217864
2019-04-24,5453.0,5467.0,5437.5,5440.0,5440.0,86013019
2019-04-24,5440.0,5464.0,5430.0,5457.5,5457.5,46708714
2019-04-24,5457.5,5478.0,5453.5,5455.5,5455.5,60610697
2019-04-24,5455.5,5464.5,5415.0,5439.0,5439.0,106808575
2019-04-24,5439.0,5449.0,5407.0,5407.0,5407.0,94760889
2019-04-24,5407.0,5419.0,5366.5,5404.0,5404.0,216759534
2019-04-24,5404.0,5434.0,5402.5,5428.0,5428.0,72969173
2019-04-24,5428.0,5444.0,5424.0,5433.5,5433.5,40361681
2019-04-24,5433.5,5438.5,5410.5,5430.0,5430.0,41869808
2019-04-24,5430.0,5441.0,5430.0,5441.0,5441.0,20626551
2019-04-25,5441.0,5444.0,5421.5,5440.0,5440.0,38034084
2019-04-25,5440.0,5455.5,5436.5,5449.0,5449.0,45010930
2019-04-25,5449.0,5451.5,5442.5,5450.0,5450.0,22983792
2019-04-25,5450.0,5452.0,5419.0,5425.5,5425.5,48235942
2019-04-25,5425.5,5438.0,5405.5,5436.0,5436.0,70564912
2019-04-25,5436.0,5445.0,5424.0,5424.0,5424.0,34951804
